fips,life_expectancy,le_ci_low,le_ci_high,premature_mortality,drug_overdose_deaths,child_mortality
36019,79.056376248,78.455464389,79.657288108,6328.4595716,12.450302542,43.323802097
36021,80.359645513,79.616900711,81.102390315,6396.4617445,15.650239505,41.484662876
36023,78.107197373,77.312042605,78.902352142,7007.6047944,21.742637312,38.376141005
36025,78.131901543,77.21770776,79.046095326,8148.9901316,20.36199095,40.971013008
36027,80.133191387,79.796446725,80.469936049,6245.7719052,33.249019267,35.824739931
36029,78.038039655,77.858521619,78.217557691,7278.2031233,24.640177206,46.475454647
36031,79.671093171,78.792652714,80.549533628,6184.2570202,9.002844899,
36033,79.070250332,78.269064955,79.871435708,6636.0825021,13.308490817,36.099221288
36035,77.497239464,76.746860356,78.247618571,7877.6005325,20.026785826,32.577837762
36037,77.77734383,77.042112568,78.512575091,7576.3045709,32.016765142,40.711377759
36039,78.712675787,77.840558478,79.584793096,7969.1159421,26.08278818,42.00187393
36041,79.812713428,77.498565938,82.126860918,5206.4285652,,
36043,79.236915003,78.532558517,79.941271488,6649.0549974,16.295757128,35.522576571
36045,77.816473298,77.287172015,78.345774582,7235.3208139,19.715849116,62.062739788
36047,80.716933464,80.596493851,80.837373077,5839.3462204,14.371880479,34.91811914
36049,79.806851698,78.725005801,80.888697595,6258.0961676,20.271126314,45.660205056
36051,79.992910547,79.285093324,80.700727769,5837.2959835,25.458923618,40.520462834
36053,80.766075657,80.129615236,81.402536077,5250.8920655,15.550340694,37.101621341
36055,79.307275923,79.098812114,79.515739732,6805.0765819,32.44733824,52.96102491
36057,77.123303878,76.354970249,77.891637507,7909.2871053,16.233107423,51.040788247
36059,81.947305784,81.805396535,82.089215033,4556.4387178,16.254360829,22.869947091
36061,83.680025529,83.522124707,83.837926351,4412.8623625,20.556964355,33.785878786
36063,77.295647805,76.919840649,77.67145496,7924.621923,27.383738517,38.228126344
36065,77.531507432,77.158981245,77.904033619,7850.7225979,24.796016301,58.482232174
36067,78.982443465,78.726643706,79.238243224,6752.4895741,27.794847964,43.917098816
36069,80.084822964,79.557396589,80.612249339,6041.7023135,18.196596023,29.54981986
36071,79.469613204,79.181021342,79.758205066,6268.9441244,28.989909949,33.005833589
36073,77.526410614,76.593903932,78.458917297,7766.3186257,18.190537613,70.411265803
36075,77.861445227,77.337389108,78.385501347,7524.277717,25.329568999,51.831902028
36077,79.562467649,78.824447158,80.30048814,6548.8009516,16.297353647,34.461734221
36079,82.188921151,81.634222038,82.743620265,4494.938084,19.949686215,21.91032234
36081,81.814663426,81.689309723,81.940017129,5243.8215938,13.849052723,34.193215191
36083,78.802326973,78.364398172,79.240255775,6712.747385,18.267179547,47.711466925
36085,79.774472606,79.525301796,80.023643416,5981.7363235,26.827322402,33.210438667
36087,81.361520072,81.052377958,81.670662187,5059.8612387,15.035148495,28.116543071
36089,78.656361518,78.110953763,79.201769273,6648.5946543,8.9791065479,76.879826504
36091,81.348809171,80.994785036,81.702833306,4891.7117003,12.892496857,25.69344981
36093,78.735753159,78.297809972,79.173696345,6996.62997,20.171370816,44.820605526
36095,79.961361634,78.827172659,81.09555061,7199.9019585,16.089586819,
36097,78.912972903,77.674399169,80.151546637,6165.2782342,,
36099,77.653786829,76.642690486,78.664883171,8207.3127161,17.59410402,76.894910289
36101,78.203984672,77.646919081,78.761050264,6937.1845036,14.344090235,46.403712297
36103,80.120900775,79.978938631,80.262862918,5926.0666506,25.744776529,33.834462886
36105,77.348097889,76.67483169,78.021364088,8682.3520762,54.249069386,39.128529393
36107,79.696906417,78.863858889,80.529953945,6536.4525592,14.516095585,44.737169131
36109,81.300428674,80.726965747,81.873891601,4706.9171711,18.952328359,41.562068794
36111,79.743856332,79.324474951,80.163237713,6459.3225573,34.464157276,35.101715197
36113,78.889710673,78.204947279,79.574474066,6843.6549262,16.669705415,45.078888054
36115,78.283915807,77.617385488,78.950446125,6664.6263963,14.753534018,45.826513912
36117,78.654620247,78.055798581,79.253441914,7133.7373558,19.67911897,54.744525547
36119,82.405727413,82.225661318,82.585793508,4617.770182,15.581263875,29.730268599
36121,78.880360823,78.090232277,79.670489369,5892.1115038,19.2615297,
36123,77.723896043,76.609070682,78.838721404,7335.520784,13.416695736,77.434636057
37001,76.804357189,76.378010961,77.230703418,8326.7881997,23.260810856,45.779839367
37003,76.950638416,76.012922756,77.888354077,8806.1876611,11.577063166,56.8238794
37005,77.311390845,75.33995263,79.28282906,9618.5075011,,
37007,73.445692465,72.188176994,74.703207936,12713.920673,24.516480523,97.596055065
37009,78.160449477,77.094787226,79.226111727,7506.3844082,12.273251675,
37011,77.54941007,76.456779974,78.642040166,6897.4221465,,
37013,75.918053802,74.984384919,76.851722684,10374.986242,30.464908676,69.093808132
